WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.47822 51.63913)",51.63913,4.47822,Koolmees, 4793 HJ, Fijnaart,https://waarneming.nl/observation/346038835/
"POINT (4.98879 51.57851)",51.57851,4.98879,Oosterbeekstraat, 5045 TL, Tilburg,https://waarneming.nl/observation/346125637/
"POINT (4.65414 51.47317)",51.47317,4.65414,Boomgaard, 4881 VX, Zundert,https://waarneming.nl/observation/346096509/
"POINT (4.85371 51.50722)",51.50722,4.85371,Zwanendries, 4861 EJ, Chaam,https://waarneming.nl/observation/346069217/
"POINT (5.50992 51.42409)",51.42409,5.50992,Erasmuslaan, 5645 GA, Eindhoven,https://waarneming.nl/observation/346067436/
"POINT (4.75865 51.67294)",51.67294,4.75865,Zandstraat, 4927 RH, Hooge Zwaluwe,https://waarneming.nl/observation/346114204/
"POINT (5.30588 51.70697)",51.70697,5.30588,Schanswetering, 5231 ND, 's-Hertogenbosch,https://waarneming.nl/observation/346208712/
"POINT (5.79975 51.45898)",51.45898,5.79975,Rijn, 5751 TZ, Deurne,https://waarneming.nl/observation/346209086/
"POINT (5.42021 51.70788)",51.70788,5.42021,Bosuil, 5382 JM, Vinkel,https://waarneming.nl/observation/346221519/
"POINT (5.35764 51.31506)",51.31506,5.35764,Burgemeester Magneestraat, 5571 HG, Bergeijk,https://waarneming.nl/observation/346226682/
"POINT (5.04413 51.56708)",51.56708,5.04413,Kraaiendreef, 5042 PW, Tilburg,https://waarneming.nl/observation/346350657/
"POINT (4.82236 51.58685)",51.58685,4.82236,Sterrebos, 4817 SE, Breda,https://waarneming.nl/observation/346470439/
"POINT (5.26126 51.45008)",51.45008,5.26126,Kuikseindseweg, 5091 TC, Oost West en Middelbeers,https://waarneming.nl/observation/346442735/
"POINT (5.50921 51.76521)",51.76521,5.50921,Topaas, 5345 CZ, Oss,https://waarneming.nl/observation/346494390/
"POINT (5.49223 51.64883)",51.64883,5.49223,Eikenhoek, 5473 GZ, Heeswijk-Dinther,https://waarneming.nl/observation/346533934/
"POINT (5.42683 51.47774)",51.47774,5.42683,Merwedestraat, 5626 AX, Eindhoven,https://waarneming.nl/observation/346523389/
"POINT (4.29188 51.49719)",51.49719,4.29188,Korte Parkstraat, 4611 CT, Bergen op Zoom,https://waarneming.nl/observation/347893375/
"POINT (4.941 51.65753)",51.65753,4.94100,Hoofdstraat, 5109 AA, 's Gravenmoer,https://waarneming.nl/observation/346603754/
